                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2274,                  19.04,                 1.2577,                0.00212,                0.58571,                0.00184,                0.00068,                    nan,                    nan,                    nan,             0.00048343,             0.00048343,             0.00048343
                      2,                  2.415,                 3.0001,                0.99629,                0.00212,                0.58571,                0.00184,                0.00068,                    nan,                    nan,                    nan,             0.00097379,             0.00097379,             0.00097379
                      3,                 2.3565,                 2.1523,                0.97534,                0.00212,                0.58571,                0.00184,                0.00068,                0.09731,                    inf,                 41.653,              0.0014543,              0.0014543,              0.0014543
                      4,                 2.2513,                 1.8611,                0.96126,                0.00212,                0.58571,                0.00184,                0.00068,                 5.5185,                    inf,                  24.62,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.2574,                 2.1521,                0.95667,                0.00212,                0.58571,                0.00184,                0.00068,                      0,                    inf,                      0,              0.0016175,              0.0016175,              0.0016175
                      6,                   2.27,                 1.7549,                0.99232,                0.00212,                0.58571,                0.00184,                0.00068,                    nan,                    nan,                    nan,               0.001601,               0.001601,               0.001601
                      7,                 2.2645,                 1.5993,                0.96641,                0.00212,                0.58571,                0.00184,                0.00068,                  1e-05,                  10377,                 0.0012,              0.0015845,              0.0015845,              0.0015845
                      8,                  2.157,                 1.5225,                0.95223,                0.00319,                0.10592,                 0.0018,                 0.0008,                 2.5701,                    inf,                0.99816,               0.001568,               0.001568,               0.001568
                      9,                 2.2553,                 1.4642,                0.94022,                0.45344,                0.17944,                0.15918,                 0.0788,                 2.1436,                    inf,                 1.0339,              0.0015515,              0.0015515,              0.0015515
                     10,                 2.1145,                 1.3621,                0.92085,                 0.0143,                0.15279,                0.00513,                0.00185,                 2.8807,                    inf,                 1.2633,               0.001535,               0.001535,               0.001535
                     11,                 1.9548,                 1.2804,                0.89129,                0.85101,                0.61865,                 0.7022,                0.34166,                 1.9378,                 1.3149,                0.94733,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.9009,                 1.2319,                0.88513,                0.44811,                0.39024,                  0.288,                0.16343,                 2.2506,                    inf,                 1.0294,               0.001502,               0.001502,               0.001502
                     13,                 1.8869,                 1.1767,                0.88759,                0.79201,                0.63305,                0.70969,                0.36941,                 1.8318,                 1.3036,                0.93817,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.8821,                 1.1408,                0.90833,                0.85061,                0.65354,                0.70592,                0.30124,                 2.0317,                 1.1248,                0.96285,               0.001469,               0.001469,               0.001469
                     15,                 1.8598,                 1.1587,                0.86851,                0.83349,                0.67694,                0.74799,                0.37504,                 1.7605,                 1.0878,                0.92171,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.8679,                 1.1361,                0.86709,                0.91174,                0.65291,                0.78345,                0.41739,                  1.767,                0.96249,                0.91902,               0.001436,               0.001436,               0.001436
                     17,                 1.7573,                 1.0176,                0.87245,                0.91948,                0.70838,                0.80739,                0.42147,                 1.6958,                0.98851,                0.91211,              0.0014195,              0.0014195,              0.0014195
                     18,                  1.873,                 1.1167,                0.87207,                0.94209,                0.69763,                0.82083,                0.42281,                 1.7605,                0.93711,                0.91318,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.8394,                 1.0394,                0.86571,                0.84477,                0.73424,                0.80836,                0.39068,                 1.7199,                0.96481,                0.89922,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.7108,                0.98167,                0.85989,                0.93118,                 0.7101,                0.81683,                0.40111,                 1.8073,                   1.04,                0.91546,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.7284,                0.98476,                0.86606,                0.80096,                0.69349,                0.73185,                0.33329,                   1.92,                 1.1075,                0.92273,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.6797,                 1.1546,                0.85812,                0.77545,                0.73746,                0.78478,                0.38232,                 1.8057,                 1.0112,                 0.9149,              0.0013369,              0.0013369,              0.0013369
                     23,                    1.7,                 1.0032,                0.85005,                0.86462,                0.67344,                0.75069,                0.34647,                 1.9197,                  1.037,                0.92453,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.6327,                0.95265,                0.85848,                0.90624,                0.71098,                0.81332,                0.46527,                 1.5882,                0.95236,                0.90396,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.5789,                0.91689,                0.85866,                0.91113,                0.75846,                0.82254,                0.43932,                 1.6189,                0.88464,                0.90008,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.6119,                0.87111,                0.85578,                  0.921,                0.73746,                0.82102,                0.46692,                 1.5437,                0.86908,                0.88749,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.6215,                0.86559,                0.83482,                  0.898,                0.74137,                0.82331,                0.43187,                 1.6181,                 0.8757,                0.88891,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.6497,                0.90396,                0.84931,                0.89083,                0.78118,                0.85894,                0.45154,                 1.6088,                0.87216,                0.88605,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.5041,                0.81998,                0.83369,                0.90347,                 0.7237,                 0.8165,                0.39929,                 1.6844,                0.89279,                0.89201,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.5401,                0.84879,                 0.8445,                0.90054,                 0.7184,                 0.7997,                0.39674,                  1.798,                0.91061,                0.90484,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.5726,                0.87604,                0.85083,                0.95703,                0.69071,                0.81602,                0.41779,                 1.7171,                0.84565,                0.90077,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.5053,                0.83599,                0.82707,                 0.8723,                0.78154,                0.85061,                0.45978,                  1.732,                0.87879,                0.90403,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.6025,                0.83075,                 0.8474,                0.88139,                0.75323,                0.84659,                0.44986,                 1.7025,                0.87707,                0.90371,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.5336,                0.85092,                0.83721,                0.70768,                 0.6821,                0.61899,                0.35133,                 1.7296,                 1.2189,                 0.8941,              0.0011389,              0.0011389,              0.0011389
