                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4718,                0.77201,                0.82229,                0.84412,                 0.7679,                0.83862,                0.45474,                  1.599,                 0.8474,                 0.8867,             0.00098624,             0.00098624,             0.00098624
                     36,                 1.4928,                0.80952,                0.82535,                0.89663,                0.75468,                0.84481,                0.44604,                 1.6804,                0.86261,                0.88755,             0.00096561,             0.00096561,             0.00096561
                     37,                 1.5016,                0.77199,                0.83773,                 0.9226,                0.77794,                0.86207,                0.46291,                 1.6236,                0.77543,                0.88786,             0.00094498,             0.00094498,             0.00094498
                     38,                  1.476,                 0.7861,                 0.8371,                0.88117,                0.76498,                0.86296,                0.48407,                 1.6051,                0.89025,                0.88268,             0.00092435,             0.00092435,             0.00092435
                     39,                 1.4504,                0.77713,                0.83458,                0.80243,                0.74495,                0.81142,                0.43646,                 1.6126,                0.85162,                0.88261,             0.00090372,             0.00090372,             0.00090372
                     40,                    1.4,                0.72889,                0.82849,                0.92084,                0.78327,                0.86181,                0.44889,                 1.5843,                 0.8011,                0.88694,             0.00088309,             0.00088309,             0.00088309
                     41,                 1.3914,                 0.7443,                0.82273,                0.91579,                0.79146,                0.85112,                0.43836,                 1.7172,                0.75449,                0.90332,             0.00086246,             0.00086246,             0.00086246
                     42,                 1.4501,                 0.7444,                0.80948,                0.88704,                0.78028,                0.87699,                0.49288,                 1.5539,                0.77036,                0.87932,             0.00084184,             0.00084184,             0.00084184
                     43,                 1.3885,                0.73677,                0.81211,                0.91261,                0.74536,                0.85812,                0.47721,                 1.5511,                0.77796,                  0.881,             0.00082121,             0.00082121,             0.00082121
                     44,                 1.4153,                0.70874,                0.82944,                0.93778,                0.80871,                0.88154,                0.50245,                  1.481,                0.70663,                0.87225,             0.00080058,             0.00080058,             0.00080058
                     45,                 1.3486,                0.73926,                0.82554,                0.93287,                0.80662,                0.88585,                0.50804,                 1.4863,                0.71542,                0.87381,             0.00077995,             0.00077995,             0.00077995
                     46,                 1.3168,                0.74136,                0.81867,                 0.9328,                0.78204,                0.87755,                0.48317,                 1.5174,                0.77385,                0.87165,             0.00075932,             0.00075932,             0.00075932
