                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7117,                 10.671,                 1.0282,                0.01113,                0.13972,                0.00702,                0.00221,                 2.6729,                  261.2,                0.94282,             0.00051677,             0.00051677,             0.00051677
                      1,                 2.3805,                 2.5522,                0.92753,                0.60417,                   0.05,                0.04399,                0.01953,                 2.6858,                 6.6268,                 1.1208,              0.0010156,              0.0010156,              0.0010156
                      2,                 2.2812,                 2.1879,                0.92416,                0.60417,                   0.05,                0.04399,                0.01953,                0.26989,                 4133.8,                0.05461,              0.0014791,              0.0014791,              0.0014791
                      3,                 2.3906,                 1.8265,                0.92231,                0.60417,                   0.05,                0.04399,                0.01953,                0.00708,                 5524.8,                0.00172,               0.001502,               0.001502,               0.001502
                      4,                 2.2523,                 2.1315,                0.90941,                0.29891,                0.34826,                0.19392,                0.08593,                 2.3782,                  9.491,                0.99632,               0.001502,               0.001502,               0.001502
                      5,                 2.1934,                 1.6222,                0.91677,                 0.3862,                0.44408,                 0.3442,                0.13949,                 2.1485,                 10.923,                0.93358,               0.001447,               0.001447,               0.001447
                      6,                 2.1323,                 1.4365,                0.89524,                0.54094,                0.38818,                0.40547,                0.15749,                 2.2544,                 1.6676,                0.91644,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.9975,                 1.2721,                0.88884,                0.44163,                0.30347,                0.28396,                0.08977,                  2.856,                   2.02,                 1.0013,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.9351,                 1.2532,                0.86962,                 0.8431,                0.50226,                0.59765,                0.25954,                 2.0672,                 1.4106,                0.88224,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.9154,                 1.1734,                0.86312,                0.74514,                0.58258,                0.65311,                0.30565,                 2.0247,                 1.2222,                0.86443,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.9119,                 1.0611,                0.86522,                0.69785,                0.72422,                 0.7463,                0.34543,                 1.9061,                 1.0317,                0.85338,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.9695,                 1.1227,                0.87239,                0.82159,                  0.622,                0.72469,                0.31431,                 1.8589,                 1.0103,                0.83647,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.8027,                  1.039,                 0.8522,                0.75351,                0.72559,                0.78093,                0.38644,                 1.6865,                0.92306,                0.84031,              0.0010619,              0.0010619,              0.0010619
                     13,                  1.835,                0.97141,                0.84794,                0.81253,                0.67503,                0.78967,                0.39963,                 1.6597,                0.88995,                0.84048,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.7574,                0.98022,                0.83678,                0.79613,                0.72464,                0.82678,                0.45036,                 1.5529,                0.85378,                0.82857,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.7229,                 0.9308,                0.83309,                0.83261,                0.66238,                0.79889,                0.40319,                  1.744,                0.97047,                0.83415,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.7113,                0.94891,                0.83182,                0.82777,                0.74355,                0.82563,                0.40931,                 1.7261,                 0.8969,                0.82869,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.6496,                0.95779,                0.83213,                0.84999,                0.73178,                0.84065,                0.40197,                  1.647,                0.83539,                0.83193,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.5891,                0.84874,                0.81756,                0.82473,                0.76729,                0.82976,                0.40865,                 1.7011,                0.80525,                0.82201,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.5916,                0.80922,                0.82274,                0.81744,                 0.7868,                0.83779,                0.36955,                 1.8725,                0.80031,                0.84026,              0.0006768,              0.0006768,              0.0006768
                     20,                 1.5638,                 0.7587,                0.84757,                 0.8695,                0.74641,                0.82793,                0.39732,                 1.8271,                0.81033,                0.83203,             0.00062179,             0.00062179,             0.00062179
                     21,                 1.5277,                0.77708,                0.83817,                0.80915,                0.77805,                0.84323,                0.44952,                 1.6328,                0.82939,                0.82934,             0.00056678,             0.00056678,             0.00056678
                     22,                 1.4692,                0.73983,                0.83527,                0.74472,                0.79843,                0.84982,                0.40381,                 1.7352,                0.79949,                0.83144,             0.00051177,             0.00051177,             0.00051177
                     23,                 1.3433,                0.67923,                 0.8059,                0.76106,                0.80557,                0.85169,                0.40503,                 1.7203,                0.75033,                0.82218,             0.00045676,             0.00045676,             0.00045676
                     24,                 1.3215,                0.66928,                0.82188,                0.90584,                0.73432,                 0.8491,                0.41977,                 1.6872,                 0.7497,                0.81861,             0.00040175,             0.00040175,             0.00040175
                     25,                 1.3322,                0.64769,                0.81884,                0.84611,                0.76585,                0.86287,                0.46514,                 1.5672,                0.72204,                 0.8216,             0.00034674,             0.00034674,             0.00034674
                     26,                 1.3042,                0.60469,                0.81768,                0.81614,                0.82185,                0.87499,                0.42906,                 1.7273,                  0.728,                0.82897,             0.00029172,             0.00029172,             0.00029172
                     27,                 1.2757,                0.64563,                0.80485,                0.89958,                0.77889,                0.87517,                0.47085,                 1.5842,                0.72608,                0.82137,             0.00023671,             0.00023671,             0.00023671
                     28,                 1.2936,                0.63657,                0.81701,                0.83896,                 0.7936,                0.85862,                0.45244,                 1.6497,                0.72893,                0.82677,              0.0001817,              0.0001817,              0.0001817
                     29,                 1.2051,                0.61509,                0.80473,                0.92797,                0.75871,                0.87485,                0.46903,                  1.611,                0.69963,                0.82108,             0.00012669,             0.00012669,             0.00012669
